region,homes_occupied,homes_unoccupied,homes_total
Piemonte  ,1964108,827768,2791876
Valle d'Aosta / Vallée d'Aoste  ,59616,75948,135564
Liguria  ,746686,431321,1178007
Lombardia  ,4415364,1184728,5600092
Trentino Alto Adige / Südtirol  ,463305,219888,683193
Provincia Autonoma Bolzano / Bozen  ,226675,67100,293775
Provincia Autonoma Trento  ,236630,152788,389418
Veneto  ,2076568,584378,2660946
Friuli-Venezia Giulia  ,557109,173363,730472
Emilia-Romagna  ,1993088,554077,2547165
Toscana  ,1627013,506892,2133905
Umbria  ,376747,126922,503669
Marche  ,635066,236436,871502
Lazio  ,2555710,618760,3174470
Abruzzo  ,548556,346189,894745
Molise  ,128545,103339,231884
Campania  ,2163946,709914,2873860
Puglia  ,1604719,699580,2304299
Basilicata  ,232997,131810,364807
Calabria  ,794685,580819,1375504
Sicilia  ,2024043,1157217,3181260
Sardegna  ,722186,312423,1034609
