region_code,region,pop_65plus,tot_pop,share_65plus,homes_occupied,homes_unoccupied,homes_total,region_norm,share_unoccupied,macro_region,high_65,high_vac,category_2x2,rank_65,rank_vac,rank_diff
1,Piemonte,1142793.0,4255702.0,26.85321951584016,1964108,827768,2791876,Piemonte,29.649167799716032,North,True,False,Old & Lived-in,15.0,10.0,-5.0
2,Valle d'Aosta/Vallée d'Aoste,31686.0,122714.0,25.82101471714719,59616,75948,135564,Valle d'Aosta/Vallée d'Aoste,56.0237231123307,North,False,True,Younger but Emptying,10.0,20.0,10.0
3,Lombardia,2394067.0,10035481.0,23.856026432614442,4415364,1184728,5600092,Lombardia,21.155509588056766,North,False,False,Younger & Lived-in,5.0,2.0,-3.0
4,Trentino-Alto Adige/Südtirol,244707.0,1086095.0,22.53090199291959,463305,219888,683193,Trentino Alto Adige/Südtirol,32.18534147744488,North,False,True,Younger but Emptying,2.0,13.0,11.0
5,Veneto,1208173.0,4851851.0,24.90127994449953,2076568,584378,2660946,Veneto,21.961287451906202,North,False,False,Younger & Lived-in,8.0,4.0,-4.0
6,Friuli-Venezia Giulia,328115.0,1194095.0,27.478131974424148,557109,173363,730472,Friuli-Venezia Giulia,23.733010984678398,North,True,False,Old & Lived-in,19.0,5.0,-14.0
7,Liguria,440645.0,1509908.0,29.18356615105026,746686,431321,1178007,Liguria,36.6144683350778,North,True,True,Old & Empty,20.0,16.0,-4.0
8,Emilia-Romagna,1112536.0,4465678.0,24.91303672141162,1993088,554077,2547165,Emilia-Romagna,21.75269368101399,North,False,False,Younger & Lived-in,9.0,3.0,-6.0
9,Toscana,977876.0,3660834.0,26.71183670169147,1627013,506892,2133905,Toscana,23.75419711749117,Centre,True,False,Old & Lived-in,14.0,6.0,-8.0
10,Umbria,232730.0,851954.0,27.31720257196985,376747,126922,503669,Umbria,25.199486170481013,Centre,True,False,Old & Lived-in,17.0,8.0,-9.0
11,Marche,393278.0,1481252.0,26.550377653498526,635066,236436,871502,Marche,27.12971398803445,Centre,True,False,Old & Lived-in,13.0,9.0,-4.0
12,Lazio,1360591.0,5710272.0,23.82707864003676,2555710,618760,3174470,Lazio,19.491757679234645,Centre,False,False,Younger & Lived-in,4.0,1.0,-3.0
13,Abruzzo,330163.0,1268430.0,26.029264523860206,548556,346189,894745,Abruzzo,38.69135899055038,South,True,True,Old & Empty,12.0,17.0,5.0
14,Molise,78139.0,287966.0,27.134800636186217,128545,103339,231884,Molise,44.56495489123872,South,True,True,Old & Empty,16.0,19.0,3.0
15,Campania,1194002.0,5575025.0,21.416980192913933,2163946,709914,2873860,Campania,24.702455930351512,South,False,False,Younger & Lived-in,1.0,7.0,6.0
16,Puglia,958479.0,3874166.0,24.740266679331757,1604719,699580,2304299,Puglia,30.359775359013742,South,False,True,Younger but Emptying,7.0,12.0,5.0
17,Basilicata,137402.0,529897.0,25.92994487607969,232997,131810,364807,Basilicata,36.13143388147705,South,True,True,Old & Empty,11.0,14.0,3.0
18,Calabria,447739.0,1832147.0,24.437940842083087,794685,580819,1375504,Calabria,42.22590410496807,South,False,True,Younger but Emptying,6.0,18.0,12.0
19,Sicilia,1131710.0,4779371.0,23.679057348759912,2024043,1157217,3181260,Sicilia,36.37605854284152,Islands,False,True,Younger but Emptying,3.0,15.0,12.0
20,Sardegna,428342.0,1561339.0,27.434272762033103,722186,312423,1034609,Sardegna,30.197204934424505,Islands,True,True,Old & Empty,18.0,11.0,-7.0
