region_code,region,pop_65plus,tot_pop,share_65plus
1,Piemonte,1142793.0,4255702.0,26.85321951584016
2,Valle d'Aosta/Vallée d'Aoste,31686.0,122714.0,25.82101471714719
3,Lombardia,2394067.0,10035481.0,23.856026432614442
4,Trentino-Alto Adige/Südtirol,244707.0,1086095.0,22.53090199291959
5,Veneto,1208173.0,4851851.0,24.90127994449953
6,Friuli-Venezia Giulia,328115.0,1194095.0,27.478131974424148
7,Liguria,440645.0,1509908.0,29.18356615105026
8,Emilia-Romagna,1112536.0,4465678.0,24.91303672141162
9,Toscana,977876.0,3660834.0,26.71183670169147
10,Umbria,232730.0,851954.0,27.31720257196985
11,Marche,393278.0,1481252.0,26.550377653498526
12,Lazio,1360591.0,5710272.0,23.82707864003676
13,Abruzzo,330163.0,1268430.0,26.029264523860206
14,Molise,78139.0,287966.0,27.134800636186217
15,Campania,1194002.0,5575025.0,21.416980192913933
16,Puglia,958479.0,3874166.0,24.740266679331757
17,Basilicata,137402.0,529897.0,25.92994487607969
18,Calabria,447739.0,1832147.0,24.437940842083087
19,Sicilia,1131710.0,4779371.0,23.679057348759912
20,Sardegna,428342.0,1561339.0,27.434272762033103
